status,name_of_covered_entity,individuals_affected,breach_submission_date,web_description,location_of_breached_information,state,covered_entity_type,type_of_breach,business_associate_present
"current","Iowa Department of Health and Human Services - Iowa Medicaid (Iowa HHS-IM)",233834,"05/30/2023","","Network Server","IA","Health Plan","Hacking/IT Incident","Yes"
"current","Neurology Center of Nevada",11700,"09/15/2022","","Electronic Medical Record","NV","Healthcare Provider","Hacking/IT Incident","No"
"archive","Wichita Urology Group, PA (“WUG”) ",1493,"03/08/2023","","Network Server","KS","Healthcare Provider","Hacking/IT Incident","No"
"archive","Lubbock Heart & Surgical Hospital",23379,"09/09/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","WellBe Senior Medical, LLC",3142,"03/30/2023","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Easton Cardiovascular",883,"11/30/2022","","Network Server","PA","Business Associate","Hacking/IT Incident","Yes"
"current","Lehigh Valley Women's Specialties",4535,"11/30/2022","","Network Server","PA","Business Associate","Hacking/IT Incident","Yes"
"current","Seredor Centers, Inc.",2500,"10/08/2022","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Country Doctor Community Clinic",38751,"09/16/2022","","Network Server","WA","Healthcare Provider","Hacking/IT Incident","No"
"current","Kevin Wolf, DPM d/b/a Goldsboro Podiatry",30669,"06/28/2022","","Network Server","NC","Healthcare Provider","Hacking/IT Incident","Yes"
"current","OE Enterprises, Inc.",4075,"05/20/2022","","Email","NC","Healthcare Provider","Hacking/IT Incident","No"
"current","Serco, Inc.",10140,"08/22/2023","","Network Server","VA","Health Plan","Hacking/IT Incident","Yes"
"current","Florida Health Sciences Center, Inc. dba Tampa General Hospital ",1313636,"07/28/2023","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Imagine360",132651,"06/30/2023","","Network Server","PA","Business Associate","Unauthorized Access/Disclosure","Yes"
"archive","UPMC ",1533,"06/26/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","Yes"
"archive","Country Doctor Community Clinic",22120,"09/16/2022","","Network Server","WA","Healthcare Provider","Hacking/IT Incident","No"
"current","Lehigh Valley Health Network (blackcat)",627,"05/15/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Kevin Wolf, DPM d/b/a Goldsboro Podiatry",44512,"06/28/2022","","Network Server","NC","Healthcare Provider","Hacking/IT Incident","Yes"
"archive","Resource Anesthesiology Associates of MI PC",24845,"09/23/2022","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Tift Regional Health System",500,"10/14/2022","","Network Server","GA","Healthcare Provider","Hacking/IT Incident","No"
"archive","Dr. Douglas C. Shoenberger,PC",8179,"11/30/2022","The covered entity (CE), Dr. Douglas C. Shoenberger, PC, reported that its business associate’s (BA) subcontractor suffered a ransomware attack affecting the protected health information (PHI) of 8,179 individuals. The PHI involved included names, dates of births, addresses, Social Security numbers, drivers’ license numbers, diagnoses, lab results, medications, and other treatment information. The BA notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE terminated its business relationship with its BA’s subcontractor, implemented additional technical safeguards, revised its policies and procedures, and provided complimentary credit monitoring services to affected individuals.","Network Server","PA","Business Associate","Hacking/IT Incident","Yes"
"current","Delta Dental of California",500,"09/05/2023","","Network Server","CA","Health Plan","Hacking/IT Incident","No"
"archive","Orthopedic Associates of Dutchess County ",331376,"05/04/2021","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Dr. Keith Rundle & Dr. Herman Rundle",7528,"01/12/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Maximus, Inc.",932,"08/04/2023","","Network Server","VA","Business Associate","Hacking/IT Incident","Yes"
"current","Lancaster Orthopedic Group",500,"05/26/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Health Care Service Corporation",192231,"08/21/2023","","Network Server","IL","Health Plan","Hacking/IT Incident","Yes"
"current","Walmart, Inc.",85952,"10/04/2023","","Network Server","AR","Health Plan","Hacking/IT Incident","Yes"
"current","IMA Financial Group, Inc.",2937,"05/10/2023","","Network Server","KS","Business Associate","Hacking/IT Incident","Yes"
"current","John N. Evans, DPM",15585,"06/03/2023","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Surround Care, LLC wholly owned subsidiary Navvis & Company, LLC",917,"09/22/2023","","Network Server","MO","Business Associate","Hacking/IT Incident","Yes"
"archive","UHHS Samaritan Medical Center",903,"03/26/2020","","Electronic Medical Record","OH","Healthcare Provider","Unauthorized Access/Disclosure","No"
"archive","University Medical Center Southern Nevada",1870,"03/31/2021","","Network Server","NV","Healthcare Provider","Unauthorized Access/Disclosure","Yes"
"archive","Dermatology & Skin Cancer Ctr, PC",5423,"11/30/2022","","Network Server","PA","Business Associate","Hacking/IT Incident","Yes"
"current","Performance Health Technology",1750000,"08/15/2023","","Network Server","OR","Business Associate","Hacking/IT Incident","Yes"
"current","Baylor College of Medicine",504,"07/28/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","Yes"
"current","University Medical Center Southern Nevada",12230,"02/24/2022","","Email","NV","Healthcare Provider","Hacking/IT Incident","Yes"
"archive","University of Houston for UH College of Optometry",18500,"11/12/2021","The covered entity (CE), University of Houston College of Optometry, reported that it was the victim of a ransomware attack affecting the protected health information (PHI) of 18,500 individuals. The PHI involved included names, dates of birth, addresses, Social Security numbers, drivers’ license numbers, claims information, diagnoses, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach the CE implemented additional physical and technical safeguards and retrained its employees on the HIPAA Privacy and Security Rules.  OCR provided the CE with technical assistance regarding the HIPAA Security Rule.
","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"archive","University Medical Center Southern Nevada",1300000,"08/13/2021","","Network Server","NV","Healthcare Provider","Hacking/IT Incident","No"
"archive","University Medical Center Southern Nevada",1833,"03/31/2021","","Network Server","NV","Healthcare Provider","Unauthorized Access/Disclosure","Yes"
"current","Madera County",1146,"08/09/2023","","Email","CA","Health Plan","Unauthorized Access/Disclosure","No"
"current","Core Recovery, LLC",2656,"06/16/2023","","Email","AZ","Healthcare Provider","Hacking/IT Incident","No"
"current","Allied Urological Services, LLC ",6280,"05/31/2022","","Email","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Fertility Specialists Medical Group",9437,"05/15/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Merritt Healthcare Advisors",77258,"03/15/2023","","Email","CT","Business Associate","Hacking/IT Incident","Yes"
"current","Connexin Software, Inc.",2216365,"11/11/2022","","Network Server","PA","Business Associate","Hacking/IT Incident","Yes"
"archive","Walgreen Co. ",6681,"02/28/2020","","Network Server","IL","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","mscripts®, LLC ",66372,"01/17/2023","","Network Server","CA","Business Associate","Unauthorized Access/Disclosure","Yes"
"archive","Walgreen Co.",3700,"12/03/2019","","Electronic Medical Record, Other","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Aspire Health Partners ",999,"03/29/2023","","Paper/Films","FL","Healthcare Provider","Improper Disposal","No"
"archive","Walgreen Co.",16089,"01/08/2021","","Email","IL","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","The University of Massachusetts Chan Medical School",134394,"08/21/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Cheyenne Radiology Group & MRI, P.C.",500,"02/09/2023","","Network Server","WY","Healthcare Provider","Hacking/IT Incident","No"
"current","CCA Health Plans of California, Inc d/b/a CCA Health CA",14631,"11/15/2022","","Network Server","CA","Health Plan","Hacking/IT Incident","No"
"current","Bergen's Promise, Inc.",6948,"06/07/2022","","Email","NJ","Business Associate","Hacking/IT Incident","Yes"
"current","Three Rivers Provider Network",4596,"12/19/2022","","Email","CA","Business Associate","Hacking/IT Incident","Yes"
"current","Avamere Health Services, LLC",197730,"07/13/2022","","Network Server","OR","Business Associate","Hacking/IT Incident","Yes"
"archive","Ophthalmology Associates",67000,"11/11/2021","","Electronic Medical Record, Network Server","MN","Healthcare Provider","Hacking/IT Incident","No"
"current","Premere Infinity Rehab, LLC",183254,"07/13/2022","","Network Server","OR","Business Associate","Hacking/IT Incident","Yes"
"current","Choice Health Insurance, LLC",23082,"08/15/2022","","Network Server","SC","Business Associate","Hacking/IT Incident","Yes"
"archive","QRS, Inc.",319778,"10/22/2021","","Network Server","TN","Business Associate","Hacking/IT Incident","Yes"
"current","Sovos Compliance LLC",4563,"08/08/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"archive","EyeCare Partners, LLC [on behalf of affiliated covered entities]",141165,"06/19/2019","","Network Server","MO","Healthcare Provider","Hacking/IT Incident","No"
"archive","East Jordan Family Health Center",1151,"06/04/2021","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Centers for Medicare & Medicaid Services",1362470,"07/28/2023","","Network Server","MD","Health Plan","Hacking/IT Incident","Yes"
"current","Rite Aid Corporation ",24400,"07/19/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Culbertson Memorial Hospital ",501,"05/24/2023","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Summit Healthcare Association",1403,"05/11/2022","","Network Server","AZ","Healthcare Provider","Hacking/IT Incident","Yes"
"archive","United Cerebral Palsy Heartland",518,"04/24/2020","","Email","MO","Healthcare Provider","Hacking/IT Incident","No"
"current","Molina Healthcare of Iowa, Inc.",1647,"11/22/2023","","Email","IA","Business Associate","Hacking/IT Incident","Yes"
"current","CKF Addiction Treatment, Inc.",501,"11/17/2023","","Email","KS","Healthcare Provider","Hacking/IT Incident","No"
"current","CareTree, Inc.",1097,"11/15/2023","","Network Server","IL","Business Associate","Hacking/IT Incident","Yes"
"current","Westside Community Services",2484,"11/15/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","International Paper Company Group Health and Welfare Plan (the ""IP Plan"")",78692,"11/14/2023","","Network Server","TN","Health Plan","Hacking/IT Incident","Yes"
"current","Medical College of Wisconsin",240667,"11/14/2023","","Network Server","WI","Healthcare Provider","Hacking/IT Incident","No"
"current","Endocrine and Psychiatry Center",28531,"11/14/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Southwest Behavioral Health Center",17147,"11/13/2023","","Network Server","UT","Healthcare Provider","Hacking/IT Incident","No"
"current","Medical University of South Carolina",1758,"11/13/2023","","Other","SC","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Woodfords Family Services",6691,"11/10/2023","","Network Server","ME","Healthcare Provider","Hacking/IT Incident","No"
"current","Healix Infusion Therapy, LLC",501,"11/09/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Warren General Hospital ",168921,"11/09/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Mariner Management Group ",1756,"11/08/2023","","Network Server","OH","Healthcare Provider","Hacking/IT Incident","No"
"current","Pharmacy Group of Mississippi, LLC",13129,"11/07/2023","","Network Server","MS","Healthcare Provider","Hacking/IT Incident","No"
"current","IPM Healthcare DBA Boomerang Healthcare",1204,"11/07/2023","","Email","CA","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Prestige Care, Inc.",501,"11/06/2023","","Network Server","WA","Healthcare Provider","Hacking/IT Incident","No"
"current","Welltok, Inc.",8493379,"11/06/2023","","Network Server","CO","Business Associate","Hacking/IT Incident","Yes"
"current","WellLife Network Inc.",501,"11/06/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Healthsoft LLC",1000,"11/06/2023","","Network Server","GA","Business Associate","Hacking/IT Incident","Yes"
"current","Financial Asset Management Systems (""FAMS"")",164796,"11/04/2023","","Network Server","GA","Business Associate","Hacking/IT Incident","Yes"
"current","Mayo Clinic",1152,"11/03/2023","","Network Server","MN","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Sutter Health ",845441,"11/03/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","Yes"
"current","South Austin Health Imaging LLC dba Longhorn Imaging Center",100643,"11/03/2023","","Network Server, Other","TX","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Perry Johnson & Associates, Inc., which does business as PJ&A",8952212,"11/03/2023","","Network Server","NV","Business Associate","Hacking/IT Incident","Yes"
"current","Catholic Charities of the Diocese of Rockville Centre d/b/a Catholic Charities of Long Island",13000,"11/03/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","WACOSA",1380,"11/03/2023","","Network Server","MN","Healthcare Provider","Hacking/IT Incident","No"
"current","Westat, Inc.",20045,"11/03/2023","","Network Server","MD","Business Associate","Hacking/IT Incident","Yes"
"current","Life Generations Healthcare LLC",5832,"11/03/2023","","Email","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Mulkay Cardiology Consultants at Holy Name Medical Center, P.C.",79582,"11/03/2023","","Network Server","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","Postmeds, Inc.",2364359,"10/30/2023","","Other","CA","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Longhorn Village",1670,"10/30/2023","","Email","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Frederiksted Health Care, Inc.",600,"10/30/2023","","Network Server","","Healthcare Provider","Hacking/IT Incident","No"
"current","Northern Iowa Therapy PC",5100,"10/29/2023","","Network Server","IA","Business Associate","Hacking/IT Incident","Yes"
"current","PeakMed",27800,"10/27/2023","","Network Server","CO","Healthcare Provider","Hacking/IT Incident","No"
"current","Pause Pain & Wellness",777,"10/27/2023","","Email","MS","Healthcare Provider","Unauthorized Access/Disclosure","Yes"
"current","Cadence Bank",13862,"10/27/2023","","Network Server","MS","Business Associate","Hacking/IT Incident","Yes"
"current","Hospital Sisters Health System",500,"10/26/2023","","Network Server","IL","Business Associate","Hacking/IT Incident","Yes"
"current","Greater Rochester Independent Practice Association, Inc.",279156,"10/26/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Western Washington Medical Group ",350863,"10/26/2023","","Network Server","MS","Healthcare Provider","Hacking/IT Incident","No"
"current","Fredericksburg Foot & Ankle Center, PLC",14912,"10/25/2023","","Network Server","VA","Healthcare Provider","Hacking/IT Incident","No"
"current","Edward C. Taylor, PhD., PL",6684,"10/25/2023","","Desktop Computer, Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","LCS Financial Services",768,"10/24/2023","","Network Server","CO","Business Associate","Hacking/IT Incident","Yes"
"current","eleHealth",2187,"10/24/2023","","Paper/Films","LA","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","University of Michigan, on behalf of certain HIPAA-covered functions of the University that operate as a HIPAA hybrid entity",61033,"10/23/2023","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Dakota Eye Institute",107143,"10/23/2023","","Network Server","ND","Healthcare Provider","Hacking/IT Incident","No"
"current","La Red Health Center",501,"10/20/2023","","Network Server","DE","Healthcare Provider","Hacking/IT Incident","No"
"current","McLaren Health Care",501,"10/20/2023","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","City of Philadelphia ",501,"10/20/2023","","Email","PA","Health Plan","Hacking/IT Incident","No"
"current","Radius Global Solutions",135742,"10/19/2023","","Network Server","PA","Business Associate","Hacking/IT Incident","Yes"
"current","Counseling and Recovery Services of Oklahoma",3365,"10/19/2023","","Desktop Computer, Email","OK","Healthcare Provider","Hacking/IT Incident","No"
"current","Hospital & Medical Foundation of Paris, Inc",16598,"10/19/2023","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Napa Integrated Medicine PC",600,"10/19/2023","","Desktop Computer","CA","Business Associate","Theft","Yes"
"current","Oscar Insurance Company of Florida",1045,"10/19/2023","","Network Server","NY","Health Plan","Hacking/IT Incident","No"
"current","Singing River Health System and its wholly owned subsidiary, Singing River Gulfport",501,"10/18/2023","","Network Server","MS","Healthcare Provider","Hacking/IT Incident","No"
"current","BHI Energy Health and Welfare Benefits Plan",4049,"10/18/2023","","Network Server","MA","Health Plan","Hacking/IT Incident","No"
"current","Helping the Aging Needy and Disabled Inc",628,"10/18/2023","","Email","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Peerstar LLC",11438,"10/16/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Pacific Clear Vision Institute",626,"10/15/2023","","Email","OR","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Westat, Inc.",50065,"10/13/2023","","Network Server","MD","Business Associate","Hacking/IT Incident","Yes"
"current","Atlas Healthcare CT",10831,"10/13/2023","","Network Server","CT","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","NASCO",2956,"10/10/2023","","Network Server","GA","Business Associate","Hacking/IT Incident","Yes"
"current","BHS Physician Network, Inc. ",1857,"10/10/2023","","Email","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Data Media Associates",2035,"10/09/2023","","Paper/Films","GA","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Fellowship Village",501,"10/08/2023","","Network Server","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","Brooklyn Premier Orthopedics",48459,"10/06/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Neurovative Diagnostics, LLC",1599,"10/05/2023","","Email","TX","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Carle Health ",679,"10/05/2023","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Responsive Care Solutions",5200,"10/05/2023","","Paper/Films","FL","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Region 4 South Mental Health Consortium",571,"10/05/2023","","Network Server","MN","Healthcare Provider","Hacking/IT Incident","No"
"current","Walmart, Inc. Associates Health and Welfare Plan",85952,"10/04/2023","","Network Server","AR","Health Plan","Hacking/IT Incident","Yes"
"current","Borgfeld Dental Center PLLC dba Henwood Family Dentistry",7300,"10/02/2023","","Electronic Medical Record, Network Server","TX","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Arietis Health, LLC",1975066,"09/29/2023","","Network Server","FL","Business Associate","Hacking/IT Incident","Yes"
"current","Prospect Medical Holdings, Inc.",342376,"09/29/2023","","Network Server","CA","Business Associate","Hacking/IT Incident","Yes"
"current","Piedmont Healthcare, Inc.",895,"09/29/2023","","Network Server","GA","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Physio Logic Medicine, PC",1280,"09/29/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","International Business Machines Corporation",630755,"09/29/2023","","Other","NY","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Physio Logic Chiropractic and Physical Therapy, PLLC and Dr. Patty DiBlasio, PC",9580,"09/29/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Mt. Graham Regional Medical Center",501,"09/29/2023","","Network Server","AZ","Healthcare Provider","Hacking/IT Incident","No"
"current","Georgia Northside Ear, Nose, and Throat, LLC.",37774,"09/29/2023","","Email","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Greater Dallas Healthcare Enterprises",143833,"09/29/2023","","Email","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","South Florida Behavioral Health Network ",2729,"09/29/2023","","Network Server","FL","Business Associate","Hacking/IT Incident","Yes"
"current","Acadia Health, LLC d/b/a Just Kids Dental",129463,"09/27/2023","","Network Server","AL","Healthcare Provider","Hacking/IT Incident","No"
"current","Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators",6814,"09/26/2023","","Email","KY","Healthcare Provider","Hacking/IT Incident","No"
"current","Entertainment Community Fund, dba Actors Fund Home",1110,"09/26/2023","","Network Server","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","AIDS Alabama, Inc.",1922,"09/26/2023","","Network Server","AL","Healthcare Provider","Hacking/IT Incident","No"
"current","Community First Medical Center",216047,"09/26/2023","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Riverdale Mental Health d/b/a Mosaic Mental Health ",7281,"09/25/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Tangoe, Inc.",718,"09/25/2023","","Network Server","IN","Health Plan","Hacking/IT Incident","No"
"current","Cook County Health and Hospitals System",500,"09/24/2023","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Navvis & Company, LLC",917,"09/22/2023","","Network Server","MO","Business Associate","Hacking/IT Incident","Yes"
"current","OrthoAlaska, LLC",176203,"09/22/2023","","Network Server","AK","Healthcare Provider","Hacking/IT Incident","No"
"current","Allegheny County, Pennsylvania",1505,"09/22/2023","","Network Server","PA","Business Associate","Hacking/IT Incident","Yes"
"current","Blue Cross Blue Shield of Texas",3708,"09/22/2023","","Paper/Films","IL","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Clover Health LLC",2834,"09/22/2023","","Network Server","NJ","Health Plan","Unauthorized Access/Disclosure","No"
"current","Indiana University Health",4194,"09/22/2023","","Network Server","IN","Healthcare Provider","Hacking/IT Incident","Yes"
